start	end	text
0	10960	this is the inventory recording for November 30th 2025 we're gonna have
10960	14760	quite a few different counts tonight the first one we're gonna do is gonna be in
14760	26940	my truck so we have four six packs of squealing pig Sauvignon Blanc wine two
26940	44700	bottles of scarpetta 12 bottles of margarita mix those 750 milliliter ones
44700	65740	of the stirrings again 12 margarita 12 watermelon stirrings mixer 24 Mark
65740	73020	caseres cava 750 milliliter bottles this looks like Prosecco again it's spelled
73020	89380	M-A-R-Q-U-E-S Marquez is how it looks de caseres de C-A-C-E-R-E-S Marquez de
89460	108060	caseres six more bottles of watermelon mixer half of a bottle of erradura ultra
108140	123820	agnejo the second place that we're gonna count is going to be the walk-in cooler
127540	134280	so in the walk-in there's one full keg of 38 beach blonde again those are half
134280	147320	barrels and then everything else is six barrels three six barrels of Paradise
147320	157060	Park two perfect plane yachtside three Kona big wave add one more perfect plane
157060	173240	yachtside add one more Kona big wave and we have two kegs of Stella Artois okay
173240	180760	so each one of these cases of fresh Victor's juices is two 64 fluid ounce
180900	201260	bottles so when I say a case that's what it is so there are four cases of let's
201260	208060	see this is for again sorry four cases of the cactus pear and pomegranate
208120	219080	cocktail mixer and then two cases of the fresh Victor's cucumber lime again two cases of those
219080	230560	the next place we're gonna count is the inside bar okay so inside bar we have four fifths of
230560	238660	a bottle of Colonel E.H. Taylor small batch we have a quarter of a bottle of Pappas Pilar
238660	246620	the sherry cask one can of watermelon high noon one can of Michelob Ultra one can of Miller Light
246620	256220	one can of Coors Light one can of Pacifico one can of yingling one can of athletic upside Don
256280	265000	half of a bottle of the Eagle rare aged ten years because in the past we have had twelve
265000	274120	this is the ten year three quarters of a bottle of red excuse me call it four fifths of a bottle
274120	290100	of Redwood Empire 90% of a bottle of Nickters 75% of a bottle of the shaker red blend full
290100	301900	bottle of canoe Ridge Merlot 80% of a bottle of windstorm Chardonnay 75% of a bottle of Campari
301960	313520	a full bottle of Campesino aged rum 80% of a bottle of Campesino silver rum 95% of a bottle
313520	325000	of Jack Daniel's 80% of a bottle of Myers aged rum full bottle of sham board 75% of a bottle of
325340	339420	Mark 80% of a bottle of Jim Beam 80% of a bottle of Tullamore Dew a third of a bottle of gray goose
339420	351940	and this bottle is 750 milliliters full bottle of crop lemon full bottle of Parrot Bay coconut
351940	360360	rum half of a bottle of Casamigos silver full bottle of grenadine half of a bottle of fireball
360360	374800	90% of a bottle of farmers gin one full bottle of crop cucumber vodka quarter of a bottle of
374800	382120	Grand Marnier full bottle of caravela limoncello another quarter of a bottle of Casamigos quarter
382120	393680	of a bottle of Tanqueray half of a bottle of Milagro Reposado half of a bottle of Parrot
393680	403320	Bay coconut rum half of a bottle of Parrot Bay white rum 75% of a bottle of Yahweh 90% of a bottle
403320	420400	of Siete Mesterios mezcal 25% of a bottle of Pueblo Viejo 20% of a bottle of triple sec
420400	428880	three-quarters of a bottle of Wheatley's vodka oh also in storage so let's add this to this
428880	438600	count as well in storage we have a full 12 bottle case of Wheatley's so let's add that to the count
438600	463080	16 cans of Miller Lite 22 cans of Yingling 5 cans of athletic non-alcoholic beer 7 cans of
464040	472120	again for all the canned stuff I need a total can amount for each one one can of high-rise
472120	492360	pineapple 12 cans of Coors Light 7 cans of Pacifico 24 cans of high noon 6 cans of ginger beer
492360	517160	4 bottles of Scarpetta 2 bottles of Squealing Pig 1 bottle of Bloody Mary Mix 1 bottle of
517160	532840	of Marca de Caceres 1 bottle of 30a Chardonnay 1 bottle of Windstorm Chardonnay
532840	546720	half of a bottle of Pueblo Viejo 90% of a bottle of Yahweh 25% of a bottle of Eagle
546720	559920	Rare 10 year aged quarter of a bottle of E.H. Taylor half of a bottle of Parrot Bay white rum
